Date,min_t,max_t
2010-01-01,0.2,1.5
2010-01-02,-1.2,3.6
2010-01-03,-1.3,4.7
2010-01-04,-6,-1.1
2010-01-05,-3.7,0.4
2010-01-06,-3.3,-2
2010-01-07,-4.4,-1
2010-01-08,-5.7,-1.6
2010-01-09,-3.2,-0.7
2010-01-10,-1.2,0.2
2010-01-11,-0.7,0.9
2010-01-12,-0.3,1
2010-01-13,-1.7,4.4
2010-01-14,2.2,5.9
2010-01-15,0.4,4.9
2010-01-16,3,9.8
2010-01-17,6,10
2010-01-18,3.9,5.7
2010-01-19,0.9,3
2010-01-20,0.1,6.5
2010-01-21,4.4,7.2
2010-01-22,3.5,8.9
2010-01-23,3.3,5
2010-01-24,3.4,6.9
2010-01-25,3.3,7.5
2010-01-26,-1,0.4
2010-01-27,-4.6,5.4
2010-01-28,1,6.5
2010-01-29,3.3,7.2
2010-01-30,-0.5,3.1
2010-01-31,-0.9,4.3
2010-02-01,-0.2,5.2
2010-02-02,1.2,8.4
2010-02-03,6.6,10.5
2010-02-04,4.6,9.6
2010-02-05,6.4,12.1
2010-02-06,5.2,9
2010-02-07,3.3,6.4
2010-02-08,3.2,4.5
2010-02-09,-2.3,-0.3
2010-02-10,-3.1,3.3
2010-02-11,-3.9,-0.8
2010-02-12,-3.8,1.1
2010-02-13,-3.4,-1.6
2010-02-14,-2.2,3
2010-02-15,-1.4,3.1
2010-02-16,-3.6,4.1
2010-02-17,-0.4,4.9
2010-02-18,1.6,10.6
2010-02-19,3.9,8.4
2010-02-20,1.1,5.8
2010-02-21,1.7,8.4
2010-02-22,5.6,14.6
2010-02-23,9.1,14.2
2010-02-24,6.2,12.5
2010-02-25,8.1,12.1
2010-02-26,6.3,10.8
2010-02-27,4.6,13.3
2010-02-28,7.4,10.3
2010-03-01,2.2,11.5
2010-03-02,4.8,12.2
2010-03-03,3.2,10.1
2010-03-04,2.3,8.1
2010-03-05,-0.6,6.5
2010-03-06,1.9,7.2
2010-03-07,-2.6,4.5
2010-03-08,-1.9,6.5
2010-03-09,-1.9,5
2010-03-10,-1.6,8.7
2010-03-11,-0.9,6.8
2010-03-12,0.8,6.5
2010-03-13,4.6,7.7
2010-03-14,4.3,9.2
2010-03-15,4.1,13.1
2010-03-16,4.3,14.4
2010-03-17,4.8,17.4
2010-03-18,7.6,19.6
2010-03-19,12.2,19.4
2010-03-20,12,16.9
2010-03-21,8.7,12.5
2010-03-22,5.7,16
2010-03-23,6.3,16.4
2010-03-24,9.2,19.5
2010-03-25,12.2,18.8
2010-03-26,8.9,13.6
2010-03-27,7,13.3
2010-03-28,8.3,14.1
2010-03-29,11,18.4
2010-03-30,4.8,14.1
2010-03-31,5.9,11.4
2010-04-01,3.4,12.3
2010-04-02,5.1,11.8
2010-04-03,6.7,11.7
2010-04-04,6.7,12
2010-04-05,2.7,13.9
2010-04-06,4.3,19.8
2010-04-07,10.5,17.7
2010-04-08,8.7,13.3
2010-04-09,6.2,17.9
2010-04-10,8.8,17
2010-04-11,5,13.9
2010-04-12,4.4,14.3
2010-04-13,7.7,16.9
2010-04-14,6.5,15.7
2010-04-15,6.6,16.8
2010-04-16,6.2,16
2010-04-17,5.2,19
2010-04-18,8.2,22
2010-04-19,8.7,21.1
2010-04-20,10.4,17.2
2010-04-21,6.3,16.4
2010-04-22,5.6,16.4
2010-04-23,5.3,20.2
2010-04-24,9,24.3
2010-04-25,11.3,22.3
2010-04-26,10.4,17.3
2010-04-27,9.2,21.5
2010-04-28,11.6,26.4
2010-04-29,13.2,27.4
2010-04-30,11.9,17.8
2010-05-01,11.1,17.2
2010-05-02,9.8,17
2010-05-03,6.2,9.3
2010-05-04,6.3,12.7
2010-05-05,4.5,12.7
2010-05-06,5.8,16
2010-05-07,6.4,14.6
2010-05-08,7.4,17.9
2010-05-09,9.2,18.6
2010-05-10,8.2,16.4
2010-05-11,6.1,7.6
2010-05-12,6,11.2
2010-05-13,5.7,11
2010-05-14,8,11.8
2010-05-15,8.5,16.5
2010-05-16,7.9,18
2010-05-17,11.1,18.5
2010-05-18,8.8,19.5
2010-05-19,9.3,20.5
2010-05-20,9.9,22.9
2010-05-21,12.4,24.5
2010-05-22,13.1,25.4
2010-05-23,12.9,27.9
2010-05-24,16.1,30.2
2010-05-25,17.5,30.1
2010-05-26,17.2,20.8
2010-05-27,12.9,18.7
2010-05-28,10.8,20.3
2010-05-29,11.4,17.9
2010-05-30,13.5,18
2010-05-31,11.9,16.8
2010-06-01,11.4,17.4
2010-06-02,12,22.7
2010-06-03,12.2,25.4
2010-06-04,14.8,29
2010-06-05,17.7,30.1
2010-06-06,17.9,23.2
2010-06-07,13.1,23.4
2010-06-08,16.6,23
2010-06-09,15.6,18.9
2010-06-10,16.2,25.6
2010-06-11,15.3,26.6
2010-06-12,15.6,21.1
2010-06-13,11.2,20.5
2010-06-14,14.3,20.8
2010-06-15,14.5,21.7
2010-06-16,10.8,22.8
2010-06-17,14.8,21.5
2010-06-18,13.9,20.3
2010-06-19,11.1,16.8
2010-06-20,9.9,15.7
2010-06-21,10.6,18.2
2010-06-22,12.3,24
2010-06-23,14.5,26.4
2010-06-24,15.9,27.7
2010-06-25,16,28.3
2010-06-26,17.5,30.6
2010-06-27,19,31.1
2010-06-28,20.7,30.4
2010-06-29,17.5,29.1
2010-06-30,17.5,30.7
2010-07-01,19.6,33.8
2010-07-02,21.9,35.1
2010-07-03,18.3,21.7
2010-07-04,15.9,27.1
2010-07-05,17.2,24.5
2010-07-06,13.9,26
2010-07-07,16.2,30.9
2010-07-08,19.3,34.3
2010-07-09,22.6,33
2010-07-10,20.6,28.3
2010-07-11,20.5,31.4
2010-07-12,19.1,27.6
2010-07-13,19.5,28.4
2010-07-14,16.8,23.9
2010-07-15,14.8,24.9
2010-07-16,16.1,24.9
2010-07-17,15.1,23.3
2010-07-18,13.9,26
2010-07-19,16,30
2010-07-20,18.9,32.5
2010-07-21,19,23
2010-07-22,15.3,25.8
2010-07-23,15.5,23.4
2010-07-24,14.6,24.8
